Title,Author,Year
Phantastes: A Faerie Romance for Men and Women,George MacDonald,First published in 1850
The  Road to Oz,L. Frank Baum,First published in 1909
The Silmarillion,J.R.R. Tolkien,First published in 1977
Lilith: A Romance,George MacDonald,First published in 1895
The Last Battle,C.S. Lewis,First published in 1956
"The story of Doctor Dolittle: being the history of his peculiar life at home and astonishing adventuresin foreign parts, never before printed",Hugh Lofting,First published in 1920
Grimm's fairy tales,Brothers Grimm,First published in 1812
Tik-Tok of Oz,L. Frank Baum,First published in 1914
The Silver Chair,C.S. Lewis,First published in 1953
Ozma of Oz,L. Frank Baum,First published in 1907
The King in Yellow,Robert W. Chambers,First published in 1895
The Hobbit,J.R.R. Tolkien,First published in 1937
Momo,Michael Ende,First published in 1973
"The Lion, the Witch and the Wardrobe",C.S. Lewis,First published in 1950
Prince Caspian,C.S. Lewis,First published in 1951
The Fellowship of Ring,J.R.R. Tolkien,First published in 1954
The Enchanted Castle,Edith Nesbit,First published in 1907
The Land of Oz: A sequel to The Wizard of Oz,L. Frank Baum,First published in 1904
The Horse and his Boy,C.S. Lewis,First published in 1954
The Magician's Nephew,C.S. Lewis,First published in 1955
The voyage of the Dawn Treader: a story for children,C.S. Lewis,First published in 1952
The Return of the King: Being the Third Part of The Lord of the Rings,J.R.R. Tolkien,First published in 1950
The two towers,J.R.R. Tolkien,First published in 1954
The Handmaid's Tale,Margaret Atwood,First published in 1985
Carmilla,Joseph Sheridan Le Fanu,First published in 1871
Through the looking-glass,Lewis Carroll,First published in 1865
Phoenix and the Carpet,Edith Nesbit,First published in 1903
The Lord of the Rings,J.R.R. Tolkien,First published in 1954
Peter Pan,J. M. Barrie,First published in 1911
The Subtle Knife,Philip Pullman,First published in 1997
Northern Lights: His Dark Materials,Philip Pullman,First published in 1995
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,First published in 1889
Five Children and It,Edith Nesbit,First published in 1905
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,First published in 1999
A Connecticut Yankee in King Arthur's Court,Mark Twain,First published in 1889
The Sleeper Awakes,H. G. Wells,First published in 1899
Brood of the Witch-queen,Sax Rohmer,First published in 1924
Alice's Adventures in Wonderland,Lewis Carroll,First published in 1865
James and the Giant Peach,Roald Dahl,First published in 1961
The great god Pan,Arthur Machen,First published in 1894
Perfume: the story of a murderer,Patrick Süskind,First published in 1985
The Last Man,Mary Shelley,First published in 1826
Charlie and the Chocolate Factory,Roald Dahl,First published in 1964
Harry Potter and the Sorcerer's Stone,J. K. Rowling,First published in 1997
Harry Potter and the Half-Blood Prince,J. K. Rowling,First published in 2005
The  new Wizard of Oz,L. Frank Baum,First published in 1899
The legend of Sleepy Hollow,Washington Irving,First published in 1820
Charlie and the Great Glass Elevator,Roald Dahl,First published in 1972
The BFG,Roald Dahl,First published in 1980
Harry Potter and the Order of the Phoenix,J. K. Rowling,First published in 2003
The Lost World,Arthur Conan Doyle,First published in 1900
Flatland,Edwin Abbott Abbott,First published in 1884
Harry Potter and the Chamber of Secrets,J. K. Rowling,First published in 1998
Harry Potter and the Goblet of Fire,J. K. Rowling,First published in 1993
Fantastic Mr Fox: The Play,Roald Dahl,First published in 1970
