Title,Author,First Publish Year,Subjects
The Iron Heel,Jack London,1907,"Revolutions, fiction, Oligarchy, fiction, Utopias,  fiction, Revolutionaries, fiction, Dysyopias, fiction, Science Fiction, Socialism,  fiction, Classic Literature, American fiction (fictional works by one author), Fiction, political, Fiction, historical, United States, fiction, Political fiction"
Lilith,George MacDonald,1895,"Fiction, romance, fantasy, Fiction, general, Non-Classifiable, Nonfiction - General, General & Literary Fiction, General, Fiction / General, Fiction - General, Fiction / Fantasy / General, Fiction / Visionary & Metaphysical, Fiction, fantasy, general, Christian fiction"
Anthem,"Ayn Rand, Erin Bateman",1936,"Fiction, Individuality, Time travel in fiction, Individuality in fiction, collectivism, Time travel, Psychology, Men, Men in fiction, Man-woman relationships, Man-woman relationships in fiction, American fiction (fictional works by one author), Fiction, psychological, Fiction, science fiction, general, Fiction, dystopian, Fiction, historical, general, Individualism, FICTION / Classics, FICTION / Literary, FICTION / Political, Russian Science fiction"
The Enchanted Castle,Edith Nesbit,1907,"Fiction, Fantasy, Magic, Rings, Friendship, History, England, Brothers and sisters, Wishes, Juvenile fiction, Children's fiction, Fantasy fiction, Castles, Children's stories, Children's fantasy fiction, Castles, fiction, Magic, fiction, Fiction, historical, general, Brothers and sisters, fiction, Friendship, fiction, Great Britain, fiction, Children, England, fiction, Fiction, general, Fantasy fiction, English, Friendship -- Juvenile fiction, Brothers and sisters -- Juvenile fiction, Magic -- Juvenile fiction, Wishes -- Juvenile fiction, Castles -- Juvenile fiction, Rings -- Juvenile fiction, Great Britain -- History -- Edward VII, 1901-1910 -- Juvenile fiction, England in fiction, Castles in fiction, Rings in fiction"
Pollyanna,"Eleanor Hodgman Porter, Porter, Eleanor H. Porter",1913,"Aunts, Cheerfulness, Classic Literature, Conduct of life, Family, Fiction, History, Interpersonal relations, Juvenile Literature, Juvenile fiction, Orphans, Vermont, Families, Children: Grades 3-4, Large type books, Children's fiction, Orphans, fiction, Conduct of life, fiction, Family life, fiction, Fiction, historical, general, Vermont, fiction, Short stories, Emotions, fiction, American fiction, Fiction, general, Fiction, historical, Interpersonal relations, fiction, JUVENILE FICTION / Classics, Orphans -- Juvenile fiction, Aunts -- Juvenile fiction, Cheerfulness -- Juvenile fiction, Orphans -- Fiction, Aunts -- Fiction, Cheerfulness -- Fiction, Conduct of life -- Fiction, Interpersonal relations -- Fiction, Vermont -- Fiction, Family, fiction, Conduct of life -- Juvenile fiction, Interpersonal relations -- Juvenile fiction, Vermont -- History -- 20th century -- Juvenile fiction"
Of Human Bondage,William Somerset Maugham,1915,"People with disabilities, fiction, Orphans, fiction, Physically handicapped, fiction, Bildungsromans, British and Irish fiction (fictional works by one author), Physicians, fiction, Artists, fiction, Coming of age, fiction, England, fiction, Literature, Medical fiction, Artists,  fiction, English literature, English fiction, Classic Literature, Large type books"
The blue castle,Lucy Maud Montgomery,1926,"Juvenile fiction, Friendship, Self-actualization (Psychology), Choice, History, Single women, Fiction, Romance fiction, Fiction, historical, general, Fiction, general, Fiction, romance, general"
Phantastes,George MacDonald,1850,"Fairy tales, Scottish Fantasy fiction, Fiction, romance, fantasy, Fiction, science fiction, general, Fiction, fantasy, general, Classic Literature, Fantasy, Fiction, English literature, Fairies, Fairyland (Imaginary place), English Fantasy fiction, Scottish authors, Fantasy fiction, Fiction, general"
The King in Yellow,Robert W. Chambers,1895,"Fiction, Fiction, horror, Fiction, short stories (single author), Fiction, fantasy, collections & anthologies, Fiction, fantasy, paranormal, American fiction, American Short stories, Cuentos estadounidenses, Fiction, general, American literature, Literature, American Paranormal fiction"
The Road to Oz,L. Frank Baum,1909,"Fairy tales, Juvenile Fiction, Fiction, Oz (Imaginary place), Fantasy, Classic Literature, Children's fiction, Fantasy fiction, Oz (imaginary place), fiction, Fiction, fantasy, general"
The food of the gods and how it came to earth,H. G. Wells,1900,"Fiction, Giants, Growth factors, Food supply, Science fiction, Agriculture, Experimentation, Fiction, science fiction, general, British and irish fiction (fictional works by one author), Scientists, Artificial foods, English literature, English fiction, English Science fiction, Giants -- Fiction"
Anne of the Island,Lucy Maud Montgomery,1826,"Accessible book, Protected DAISY, College students, Friendship, Universities and colleges, Fiction, In library, Juvenile fiction, College stories, Orphans, History, Children's fiction, Shirley, anne (fictitious character), fiction, Prince edward island, fiction, Universities and colleges, fiction, Orphans, fiction, Interpersonal relations, fiction, Canada, history, fiction, Nova scotia, fiction, Self-perception, fiction, Fiction, general, Fiction, romance, general"
Kim,Rudyard Kipling,1901,"Fiction, Irish, Lamas, Irish in fiction, Orphans, Boys in fiction, Boys, Lamas in fiction, Orphans in fiction, India in fiction, East and West, East and West in fiction, Juvenile fiction, Classic Literature, Juvenile fiction', Conduct of life, Adventure and adventurers, British, Youth, Voyages and travels, Education, Enlightenment (Buddhism), Spies, Kindness, History, British and irish fiction (fictional works by one author), Fiction, action & adventure, India, fiction, Fiction, historical, Irish fiction, Adventure stories, English fiction, Large type books, Fiction, historical, general, English literature, Children's fiction, Adventure and adventurers, fiction, Literature, Kim (Kipling, Rudyard), India, Adventure fiction, Cartoons and caricatures, Beggars, Orphans -- Fiction, India -- Fiction, Boys -- Fiction, Spy stories, Lamas -- Fiction, Irish -- India -- Fiction, Fiction, general"
It Can't Happen Here,Sinclair Lewis,1935,"Anti-fascist movements, Presidents, Newspaper editors, Fiction, Drama, Science fiction, Dictators, Fascists, Election, Presidents, united states, fiction, Vermont, fiction, Canada, fiction, Fiction, political, American fiction (fictional works by one author), Fiction, historical, general, Fiction, war & military, Patriotism, Revolutions, Politics and government, Elections"
The Last Man,Mary Shelley,1826,"Fiction, Plague, Twenty-first century, End of the world, British and irish fiction (fictional works by one author), Fiction, fantasy, general, Fiction, science fiction, general, English literature, Twenty-first century -- Fiction, End of the world -- Fiction, Plague -- Fiction"
The Power of Darkness,Edith Nesbit,2006,"English Ghost stories, English Horror tales, Fiction, Fiction, horror, Fiction, ghost"
Daddy-Long-Legs,Jean Webster,1912,"Philanthropists, Letters, Juvenile fiction, Fiction, Drama, Women college students, Women authors, Boarding schools, Schools, Young women, Benefactors, Orphans, Universities and colleges, Children's fiction, Orphans, fiction, Universities and colleges, fiction, Fiction, romance, general, Authors, fiction, Young women, fiction, Family, fiction, Child and youth fiction, Fiction, general, Schools, fiction, College stories, Autoras, Mujeres jóvenes, Orfanatos"
The Phoenix and the Carpet,Edith Nesbit,1903,"English Fantasy fiction, Magic, Brothers and sisters, Juvenile fiction, Great Britain in fiction, Magic in fiction, Fiction, Brothers and sisters in fiction, Phoenix (Mythical bird), Mythical Animals, History, Children: Grades 4-6, Children's fiction, Fantasy fiction, British and irish fiction (fictional works by one author), Carpets, Fantasy, Siblings, Brothers and sisters -- Juvenile fiction, Magic -- Juvenile fiction, Great Britain -- History -- Edward VII, 1901-1910 -- Juvenile fiction, Phoenix (Mythical bird) -- Juvenile fiction, Children, fiction, London (england), history, fiction, Magic, fiction, Animals, mythical, fiction, Fiction, general, Great Britain"
The Mystery of the Blue Train,Agatha Christie,1928,"Crimes against, Detective and mystery stories, Divorce, Divorce in fiction, Fiction, Hercule Poirot (Fictitious character), Jewelry theft, Jewelry theft in fiction, Married women, Married women in fiction, Private investigators, Private investigators in fiction, Railroad stories, Railroad travel, Railroad travel in fiction, Rich people, Rich people in fiction, Historical Fiction, Mystery, Romance, Belgians, English Detective and mystery stories, Mystery fiction, England, fiction, France, fiction, Poirot, hercule (fictitious character), fiction, Fiction, mystery & detective, traditional, Large type books, English literature, German text, Fiction, mystery & detective, general, Private investigators, fiction, Married people, fiction, Divorced people, fiction, Crime, fiction, Fiction, general, Fiction, thrillers, general, Private investigators--England--Fiction, Railroad travel--Fiction, Married women--Crimes against--Fiction, Rich people--Crimes against--Fiction, Jewelry theft--Fiction"
Anne of Windy Poplars,Lucy Maud Montgomery,1900,"Juvenile fiction, High school principals, High schools, French fiction, Translations from English, Children's fiction, Prince edward island, fiction, Teachers, fiction, Shirley, anne (fictitious character), fiction"
Записки изъ подполья,Фёдор Михайлович Достоевский,1864,"Fiction, History"
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,"satire, humor, Politicians, Good and evil, Alienation, atheism, magicians, bands, political fiction, allegories, Fiction, Literature, Fantasy, Mental illness, Classic Literature, History, Russian Political fiction, Continental european fiction (fictional works by one author), Moscow (russia), fiction, Fiction, humorous, Fiction, satire, Slavic philology, E guo xiao shuo, Jerusalem, fiction, Soviet union, fiction, Fiction, historical, general, Fiction, action & adventure, Fiction, humorous, general, Jerusalem, Fiction, general, Literature, history and criticism, Russian fiction, Translations into English, Devil, Fiction, political"
The Sun Also Rises,Ernest Hemingway,1926,"Fiction, Historical, Expatriation, fiction, Americans, History, Brett Ashley (Fictitious character), Fiction, Ashley, Brett (Fictitious character), Spain, fiction, American fiction (fictional works by one author), Ashley, brett (fictitious character), fiction, American literature, Classics, Literary, War & Military, France, fiction, Ashley, Brett (Fictitious character) -- Fiction, Americans -- Spain -- Fiction, Expatriation -- Fiction, Spain -- History -- Alfonso XIII, 1886-1931 -- Fiction, Americans--france--fiction, Americans--spain--fiction, Expatriation--fiction, Ps3515.e37 s8 2006, Expatriation"
The First Men in the Moon,H. G. Wells,1900,"Classic Literature, Fiction, Imperialism, Moon, Science fiction, Space flight to the moon, Translations into Russian, Utopias, Fiction, science fiction, general, Fiction, action & adventure, British and irish fiction (fictional works by one author), Satire, English literature, Fiction, general, Action & Adventure, General, Fiction, science fiction, action & adventure, Interplanetary voyages, Space flight to the moon -- Fiction, Imperialism -- Fiction"
On The Beach,"Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff, SparkNotes",1957,"Atomic Bomb, English Science fiction, Fiction, Literature, Nuclear warfare, Roman, Juvenile fiction, United States, United States. Navy, Fiction, science fiction, general, Science fiction, Rock music, discography"
Carmilla,Joseph Sheridan Le Fanu,1871,"English Fantasy fiction, Fantasy fiction, English, Fiction, Lesbians, Vampires, Fiction, horror, Fiction, mystery & detective, general, Austria, fiction, Vampires, fiction, Gothic Fiction, Horror, Ireland, fiction, LGBTQ novels before Stonewall, Vampires--fiction, Pr4879.l7 c3 2013, 823/.8, Pr4879.l7 c3 2009, English fiction, Horror tales"
The Beautiful and Damned,F. Scott Fitzgerald,1922,"Fiction, Inheritance and succession, fiction, Married people, fiction, Family life, fiction, Socialites, fiction, Young men, fiction, Alcoholics, fiction, Facsimiles, History, Rich people, American Manuscripts, Avarice, Social conditions, Manuscripts, Romance Norte Americano, Psychological fiction, Domestic fiction, Social classes, American fiction (fictional works by one author), New york (n.y.), fiction, Fiction, psychological, Fiction, general, LITERARY CRITICISM, American, General, Classics, Manners and customs in fiction, United states, fiction, American literature, Fiction, romance, general, New York (N.Y.) -- Fiction, - ""Romans, nouvelles"", Conditions sociales, Inheritance and succession, Married people"
A Princess of Mars,Edgar Rice Burroughs,1917,"John Carter (Fictitious character), Fiction, Classic Literature, Dejah Thoris (Fictitious character), Princesses, Princesses in fiction, Science fiction, Translations into Russian, Fantasy, Barsoom, Large type books, Fiction, science fiction, action & adventure, Carter, john (fictitious character), fiction, Barsoom (imaginary place), fiction, Fiction, science fiction, general, Fiction, action & adventure, Social life and customs, Folklore, Music and dance, Manners and customs, American literature, Fiction, romance, science fiction, Fiction, thrillers, suspense, American Science fiction, Romans, nouvelles, Carter, John (Fictitious character)--Fiction, Dejah Thoris (Fictitious character)--Fiction, Princesses--Fiction, Mars (Planet)--Fiction"
The Man in the Brown Suit,Agatha Christie,1924,"Fiction, Mystery, English literature, Fiction, mystery & detective, general, French fiction, English Detective and mystery stories, London (england), fiction, Fiction, mystery & detective, traditional, Fiction, mystery & detective, international crime & mystery, Fiction, mystery & detective, amateur sleuth, Fiction, mystery & detective, women sleuths, South Africa -- Fiction, Detective and mystery stories, London (England) -- Fiction, Murder -- Investigation -- Fiction, Women adventurers, Fiction, thrillers, general, Race, colonel johnny (fictitious character), fiction"
Far From the Madding Crowd,Thomas Hardy,1874,"Fiction, Women farmers, Women farmers in fiction, Farm life in fiction, Farm life, Triangles (Interpersonal relations), Social life and customs, Wessex (England in fiction, Classic Literature, Historical Fiction, Romance, open_syllabus_project, British and irish fiction (fictional works by one author), Wessex (england), fiction, Fiction, romance, general, Large type books, Manners and customs, Romans, nouvelles, Mœurs et coutumes, Fiction, christian, romance, general, England, fiction, Fiction, general, Single women, fiction, Fiction, family life, Rural conditions, Didactic fiction, Love stories, Triangles (Interpersonal relations) -- Fiction, Pastoral fiction, Farm life -- Fiction, Women farmers -- Fiction, Wessex (England) -- Fiction, Romance fiction, Romance-language fiction, Agricultrices, Hardy, thomas , 1840-1928, Farm life--fiction, Women farmers--fiction, Triangles (interpersonal relations)--fiction, Pr4745.a2 s38 1986, 823/.8"
The Invisible Man,H. G. Wells,1897,"Ciencia-ficción, Classic Literature, Fiction, Mentally ill, Science Fiction & Fantasy, Science fiction, Scientists, English Science fiction, Experiments, Adaptations, Time travel, British and irish fiction (fictional works by one author), England, fiction, Scientists, fiction, Children's fiction, Mystery and detective stories, Literature and fiction, science fiction, Fiction, science fiction, general, English literature, English fiction, history and criticism, 20th century, Wells, h. g. (herbert george), 1866-1946, FICTION / Classics, FICTION / Science Fiction / General, FICTION / Horror, Juvenile fiction, Science, Roman pour la jeunesse, Comic and Graphic Books, Cartoons and comics, Comic books, strips, Animal experimentation, English language, French, Korean, German, Fiction, general, Fiction, historical, general, Elementary education of adults, Reading, remedial teaching, Spanish language, Readers, Horror tales, Psychological fiction, Scientists -- Fiction, Mentally ill -- Fiction, Science -- Experiments -- Fiction, Science -- Experiments"
Robin Hood,Howard Pyle,1883,"Children's fiction, Robin hood (legendary character), fiction, Adventure and adventurers, fiction, England, fiction, Fiction, action & adventure, Robin Hood (Legendary character), Juvenile literature"
Martin Eden,Jack London,1908,"Fiction, Literature, Authors, Classic Literature, Working class, Young men, American fiction (fictional works by one author), American literature, Literatură americană, Roman, Fiction, general, Authors, fiction, Fiction, biographical, Working class--fiction, Authors--fiction, Ps3523.o46 m3 1993, Oakland (calif.), fiction"
The Book of Dragons,Edith Nesbit,1973,"Juvenile fiction, Children's stories, English, Fiction, Fairy tales, Dragons, Short stories, Children: Grades 2-3, Children's fiction, Dragons, fiction, Children's stories, Fiction, short stories (single author), Fiction, general"
A Little Princess,"Frances Hodgson Burnett, Johanna Ward, Oxford University Press Staff, Jennifer Bassett, Justine Eyre, Nancy Bond",1905,"Children's fiction, Orphans, fiction, London (england), fiction, Boarding schools, fiction, England, fiction, Crewe, sara (fictitious character), fiction, Schools, fiction, Fiction, Orphans, Schools, Boarding schools, History, Social life and customs, Juvenile fiction, Translations into Russian, Children's stories, English, Children's plays, Girls, Poor girls, Young Adult Fiction, Historical fiction, Princesses, fiction, Manners and customs, Child and youth fiction, Lascar, Ram Das, Father, friendship, boarding school, charity, Orphans -- Juvenile fiction, Boarding schools -- Juvenile fiction, Children's stories, London (England) -- Social life and customs -- Juvenile fiction, England -- London"
Der Zauberberg,Thomas Mann,1924,"Fiction, Sanatoriums, German fiction, Translations into English, Philosophy, Civilization, Special Hospitals, Fictional Works, Tuberculosis, Continental european fiction (fictional works by one author), Fiction, coming of age, Germany, fiction, Fiction, general, Literature, Ficción, Sanatorios, German language materials, Criticism and interpretation"
Voyage au Centre de la Terre,Jules Verne,1867,"Fiction, Science fiction, Imaginary Voyages, Imaginary voyages in fiction, Explorers in fiction, Explorers, Cartoons and comics, Adventure and adventurers, Adventure and adventurers in fiction, French Science fiction, Voyages and travels, Earth in fiction, Core, Juvenile fiction, Voyages and travels in fiction, Ciencia-ficción, Earth, Vietnamese language books, Classic Literature, Thriller, Fiction, science fiction, action & adventure, Lidenbrock, professor (fictitious character), fiction, Fiction, science fiction, general, Large type books, Planets, Geology, Internal structure, Fantasy fiction, Adventure stories, Volcanoes, Leprosy, Patients, French fiction, Professor Lidenbrook (Fictitious character), Children's fiction, Adventure and adventurers, fiction, Volcanoes, fiction, Fiction, action & adventure, Illustraties, Frans, Viajes, Núcleo, Adventures and adventurers, Aventuras, Tierra, Ficción, Earth (Planet) -- Core -- Fiction, Voyages, Imaginary -- Fiction"
Бѣсы,Фёдор Михайлович Достоевский,1871,"Fiction, Russian fiction, Politics in fiction, Nihilism, Social life and customs, Terrorists, Manners and customs, Romans, Fiction, political, Terrorists, fiction, Russia (federation), fiction, Continental european fiction (fictional works by one author), Slavic philology, Terrorism, Nihilismo, Terrorismo, Novela, Vido social y costumbres, Fiction, general, Nihilism--fiction, Terrorists--russia--fiction, Pg3325 .b6 2008, 891.733, Political science, Fiction, psychological, Drama, history and criticism"
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,1973,"Girls, Juvenile fiction, Time, Literatura infantil alemana, fiction, fantasy, interest, tortoises, future, lilies, Children's fiction, Children, fiction, Fairy tales, Fantasy fiction, Friendship, Korean language, Korean language materials, Fiction, general, Friendship, fiction, German language materials"
Mrs. Dalloway,Virginia Woolf,1925,"Fiction, Married women, Married women in fiction, Regret, Suicide victims in fiction, Middle-aged women, First loves, Parties in fiction, Suicide victims, First loves in fiction, Triangles (Interpersonal relations), Parties, Regret in fiction, Middle-aged women in fiction, Classic Literature, Literature, Long Now Manual for Civilization, Suicide, Psychological fiction, Interpersonal relations, Fictional Works Publication Type, England, Wives, Middle aged women, Domestic fiction, British and irish fiction (fictional works by one author), Married people, fiction, London (england), fiction, Fiction, family life, Fiction, psychological, Fiction, general, Social life and customs, Manners and customs, Large type books, Fiction, family life, general, Fiction, women, Lesbians, English literature, English fiction, Romance Ingles, Mrs. Dalloway (Woolf, Virginia), Roman anglais, Fiction, lgbtq+, gay, Middle-aged women--fiction, Triangles (interpersonal relations)--fiction, Suicide victims--fiction, Married women--fiction, First loves--fiction, Parties--fiction, Regret--fiction, Pr6045.o72 m7 2005, 823/.912, Criticism and interpretation, Upper class"
